Time (secs);Force sensor voltage (volts);Force sensor voltage error (volts);Diode circuit voltage (volts);Diode circuit voltage error (volts)
4.90E+01;7.28E-01;1.48E-03;5.64E-01;2.13E-03
5.00E+01;7.28E-01;1.22E-03;5.64E-01;1.63E-03
5.10E+01;7.28E-01;1.11E-03;5.64E-01;1.10E-03
5.20E+01;7.28E-01;9.92E-04;5.64E-01;1.51E-03
5.30E+01;7.28E-01;1.17E-03;5.64E-01;1.23E-03
5.40E+01;7.28E-01;1.02E-03;5.64E-01;2.32E-03
5.50E+01;7.28E-01;1.24E-03;5.64E-01;1.99E-03
5.60E+01;7.28E-01;1.25E-03;5.64E-01;2.48E-03
5.70E+01;7.28E-01;1.15E-03;5.64E-01;2.12E-03
5.80E+01;7.28E-01;1.27E-03;5.64E-01;1.67E-03
5.90E+01;7.28E-01;1.09E-03;5.64E-01;1.39E-03
6.00E+01;7.28E-01;1.16E-03;5.64E-01;1.91E-03
6.10E+01;7.28E-01;1.13E-03;5.64E-01;2.01E-03
6.20E+01;7.28E-01;1.01E-03;5.64E-01;2.21E-03
6.30E+01;7.28E-01;1.20E-03;5.64E-01;2.21E-03
6.40E+01;7.28E-01;1.16E-03;5.64E-01;1.99E-03
6.50E+01;7.28E-01;1.35E-03;5.64E-01;1.32E-03
6.60E+01;7.28E-01;1.15E-03;5.64E-01;1.78E-03
6.70E+01;7.28E-01;1.27E-03;5.63E-01;2.12E-03
6.80E+01;7.28E-01;1.20E-03;5.63E-01;2.05E-03
6.90E+01;7.28E-01;1.08E-03;5.64E-01;1.35E-03
7.00E+01;7.28E-01;1.62E-03;5.63E-01;1.48E-03
7.10E+01;7.28E-01;1.96E-03;5.64E-01;1.67E-03
7.20E+01;7.28E-01;1.53E-03;5.64E-01;1.50E-03
7.30E+01;7.28E-01;1.12E-03;5.64E-01;1.25E-03
7.40E+01;7.28E-01;1.17E-03;5.63E-01;1.45E-03
7.50E+01;7.28E-01;1.12E-03;5.63E-01;1.36E-03
7.60E+01;7.28E-01;1.11E-03;5.63E-01;2.27E-03
7.70E+01;7.28E-01;1.21E-03;5.64E-01;2.23E-03
7.80E+01;7.28E-01;1.12E-03;5.63E-01;1.51E-03
7.90E+01;7.28E-01;1.10E-03;5.63E-01;2.00E-03
8.00E+01;7.28E-01;1.21E-03;5.63E-01;1.20E-03
8.10E+01;7.28E-01;1.14E-03;5.64E-01;1.13E-03
8.20E+01;7.28E-01;1.06E-03;5.64E-01;2.22E-03
8.30E+01;7.28E-01;1.09E-03;5.64E-01;2.06E-03
8.40E+01;7.28E-01;1.24E-03;5.63E-01;2.22E-03
8.50E+01;7.28E-01;1.52E-03;5.64E-01;2.22E-03
8.60E+01;7.28E-01;1.34E-03;5.63E-01;2.26E-03
8.70E+01;7.28E-01;1.31E-03;5.64E-01;1.23E-03
8.80E+01;7.28E-01;1.06E-03;5.63E-01;2.15E-03
8.90E+01;7.28E-01;1.17E-03;5.63E-01;1.82E-03
9.00E+01;7.28E-01;1.23E-03;5.63E-01;1.38E-03
9.10E+01;7.28E-01;1.01E-03;5.63E-01;1.29E-03
9.20E+01;7.28E-01;1.08E-03;5.63E-01;2.04E-03
9.30E+01;7.28E-01;1.16E-03;5.63E-01;1.94E-03
9.40E+01;7.28E-01;1.12E-03;5.63E-01;1.32E-03
9.50E+01;7.28E-01;1.31E-03;5.63E-01;1.90E-03
9.60E+01;7.28E-01;1.61E-03;5.63E-01;1.29E-03
9.70E+01;7.29E-01;2.23E-03;5.63E-01;1.66E-03
9.80E+01;7.28E-01;1.50E-03;5.63E-01;1.27E-03
9.90E+01;7.29E-01;1.52E-03;5.63E-01;2.28E-03
1.00E+02;7.28E-01;1.39E-03;5.63E-01;2.10E-03
1.01E+02;7.28E-01;1.38E-03;5.63E-01;2.11E-03
1.02E+02;7.28E-01;1.47E-03;5.62E-01;1.34E-03
1.03E+02;7.28E-01;1.79E-03;5.61E-01;2.12E-03
1.04E+02;7.28E-01;2.01E-03;5.62E-01;2.04E-03
1.05E+02;7.29E-01;2.02E-03;5.61E-01;1.44E-03
1.06E+02;7.29E-01;1.77E-03;5.61E-01;1.35E-03
1.07E+02;7.29E-01;1.55E-03;5.61E-01;1.36E-03
1.08E+02;7.28E-01;1.34E-03;5.61E-01;2.04E-03
1.09E+02;7.29E-01;1.65E-03;5.60E-01;1.50E-03
1.10E+02;7.04E-01;7.67E-03;5.73E-01;1.46E-02
1.11E+02;7.07E-01;3.80E-03;7.29E-01;2.83E-02
1.12E+02;7.07E-01;4.96E-03;8.87E-01;1.62E-02
1.13E+02;7.07E-01;4.79E-03;9.93E-01;1.26E-02
1.14E+02;7.08E-01;3.41E-03;1.00E+00;8.54E-04
1.15E+02;7.09E-01;3.32E-03;1.00E+00;9.48E-04
1.16E+02;7.09E-01;4.33E-03;1.00E+00;1.09E-03
1.17E+02;7.10E-01;4.28E-03;1.00E+00;7.60E-04
1.18E+02;7.10E-01;4.10E-03;1.00E+00;1.13E-03
1.19E+02;7.11E-01;3.94E-03;1.00E+00;9.17E-04
1.20E+02;7.12E-01;5.40E-03;1.00E+00;7.39E-04
1.21E+02;7.13E-01;4.21E-03;1.00E+00;1.15E-03
1.22E+02;7.14E-01;4.25E-03;1.00E+00;7.66E-04
1.23E+02;7.14E-01;3.75E-03;1.00E+00;7.35E-04
1.24E+02;7.16E-01;5.03E-03;1.00E+00;1.12E-03
1.25E+02;7.16E-01;1.46E-03;1.00E+00;7.53E-04
1.26E+02;7.16E-01;1.48E-03;1.00E+00;1.02E-03
1.27E+02;7.17E-01;1.18E-03;1.00E+00;9.04E-04
1.28E+02;7.17E-01;1.25E-03;1.00E+00;8.67E-04
1.29E+02;7.17E-01;1.12E-03;1.00E+00;9.58E-04
1.30E+02;7.17E-01;1.48E-03;1.00E+00;1.03E-03
1.31E+02;7.17E-01;1.52E-03;1.00E+00;7.98E-04
1.32E+02;7.17E-01;1.59E-03;1.00E+00;9.04E-04
1.33E+02;7.17E-01;1.45E-03;1.00E+00;7.02E-04
1.34E+02;7.18E-01;1.61E-03;1.00E+00;8.38E-04
1.35E+02;7.18E-01;1.71E-03;1.00E+00;7.83E-04
1.36E+02;7.18E-01;1.17E-03;1.00E+00;8.25E-04
1.37E+02;7.18E-01;1.31E-03;1.00E+00;8.06E-04
1.38E+02;7.18E-01;1.37E-03;1.00E+00;7.83E-04
1.39E+02;7.18E-01;1.50E-03;1.00E+00;1.07E-03
1.40E+02;7.18E-01;1.53E-03;1.00E+00;9.34E-04
1.41E+02;7.18E-01;1.80E-03;1.00E+00;1.01E-03
1.42E+02;7.18E-01;1.49E-03;1.00E+00;9.62E-04
1.43E+02;7.18E-01;1.31E-03;1.00E+00;7.51E-04
1.44E+02;7.18E-01;1.20E-03;1.00E+00;7.87E-04
1.45E+02;7.18E-01;1.74E-03;1.00E+00;9.83E-04
1.46E+02;7.18E-01;1.33E-03;1.00E+00;7.78E-04
1.47E+02;7.18E-01;1.29E-03;1.00E+00;1.12E-03
1.48E+02;7.18E-01;1.20E-03;1.00E+00;8.34E-04
1.49E+02;7.18E-01;1.25E-03;1.00E+00;1.05E-03
1.50E+02;7.18E-01;1.19E-03;1.00E+00;7.87E-04
1.51E+02;7.18E-01;1.50E-03;1.00E+00;6.71E-04
1.52E+02;7.18E-01;1.36E-03;1.00E+00;1.11E-03
1.53E+02;7.18E-01;1.27E-03;1.00E+00;1.08E-03
1.54E+02;7.18E-01;1.90E-03;1.01E+00;7.88E-04
1.55E+02;7.18E-01;1.63E-03;1.01E+00;1.01E-03
1.56E+02;7.18E-01;1.23E-03;1.00E+00;9.52E-04
1.57E+02;7.18E-01;1.51E-03;1.00E+00;9.68E-04
1.58E+02;7.18E-01;1.46E-03;1.00E+00;6.86E-04
1.59E+02;7.18E-01;1.60E-03;1.00E+00;7.31E-04
1.60E+02;7.18E-01;1.53E-03;1.00E+00;8.06E-04
1.61E+02;7.18E-01;1.22E-03;1.00E+00;1.06E-03
1.62E+02;7.18E-01;1.29E-03;1.00E+00;1.01E-03
1.63E+02;7.18E-01;1.49E-03;1.00E+00;8.16E-04
1.64E+02;7.18E-01;1.20E-03;1.00E+00;8.33E-04
1.65E+02;7.18E-01;1.10E-03;1.00E+00;8.76E-04
1.66E+02;7.18E-01;1.62E-03;1.00E+00;9.28E-04
1.67E+02;7.18E-01;1.07E-03;1.00E+00;8.65E-04
1.68E+02;7.18E-01;1.15E-03;1.00E+00;8.36E-04
1.69E+02;7.18E-01;1.22E-03;1.00E+00;7.96E-04
1.70E+02;7.18E-01;1.39E-03;1.00E+00;1.02E-03
1.71E+02;7.18E-01;1.13E-03;1.00E+00;8.31E-04
1.72E+02;7.18E-01;1.25E-03;1.00E+00;1.10E-03
1.73E+02;7.18E-01;1.20E-03;1.00E+00;1.07E-03
1.74E+02;7.18E-01;1.54E-03;1.00E+00;9.05E-04
1.75E+02;7.18E-01;1.28E-03;1.00E+00;9.60E-04
1.76E+02;7.18E-01;1.29E-03;1.00E+00;8.72E-04
1.77E+02;7.18E-01;1.36E-03;1.00E+00;9.76E-04
1.78E+02;7.18E-01;1.28E-03;1.00E+00;1.13E-03
1.79E+02;7.18E-01;1.11E-03;1.00E+00;1.13E-03
1.80E+02;7.18E-01;1.40E-03;1.00E+00;1.11E-03
1.81E+02;7.18E-01;1.37E-03;1.00E+00;7.35E-04
1.82E+02;7.18E-01;1.33E-03;1.00E+00;1.07E-03
1.83E+02;7.18E-01;1.12E-03;1.00E+00;9.97E-04
1.84E+02;7.18E-01;1.16E-03;1.00E+00;1.06E-03
1.85E+02;7.18E-01;1.20E-03;1.00E+00;9.93E-04
1.86E+02;7.18E-01;1.19E-03;1.00E+00;9.32E-04
1.87E+02;7.19E-01;1.39E-03;1.00E+00;8.32E-04
1.88E+02;7.18E-01;1.28E-03;1.00E+00;1.14E-03
1.89E+02;7.19E-01;1.33E-03;1.00E+00;8.69E-04
1.90E+02;7.18E-01;1.36E-03;1.00E+00;1.00E-03
1.91E+02;7.18E-01;1.43E-03;1.00E+00;7.66E-04
1.92E+02;7.18E-01;1.15E-03;1.00E+00;7.32E-04
1.93E+02;7.18E-01;1.20E-03;1.01E+00;7.64E-04
1.94E+02;7.18E-01;1.34E-03;1.01E+00;8.47E-04
1.95E+02;7.18E-01;1.39E-03;1.00E+00;7.16E-04
1.96E+02;7.18E-01;1.23E-03;1.01E+00;1.02E-03
1.97E+02;7.18E-01;2.02E-03;1.01E+00;7.30E-04
1.98E+02;7.18E-01;1.70E-03;1.00E+00;1.06E-03
1.99E+02;7.18E-01;1.45E-03;1.01E+00;7.08E-04
2.00E+02;7.18E-01;1.02E-03;1.00E+00;8.85E-04
2.01E+02;7.18E-01;1.25E-03;1.01E+00;8.18E-04
2.02E+02;7.18E-01;1.27E-03;1.01E+00;7.08E-04
2.03E+02;7.18E-01;1.35E-03;1.01E+00;7.11E-04
2.04E+02;7.18E-01;1.07E-03;1.01E+00;8.82E-04
2.05E+02;7.18E-01;1.03E-03;1.01E+00;8.17E-04
2.06E+02;7.18E-01;1.30E-03;1.01E+00;8.28E-04
2.07E+02;7.18E-01;1.22E-03;1.01E+00;9.59E-04
2.08E+02;7.18E-01;1.49E-03;1.01E+00;7.60E-04
2.09E+02;7.18E-01;1.21E-03;1.01E+00;7.18E-04
2.10E+02;7.18E-01;1.34E-03;1.01E+00;8.92E-04
2.11E+02;7.18E-01;1.10E-03;1.01E+00;6.97E-04
2.12E+02;7.18E-01;1.25E-03;1.01E+00;1.06E-03
2.13E+02;7.18E-01;1.20E-03;1.00E+00;7.59E-04
2.14E+02;7.19E-01;1.26E-03;1.00E+00;8.11E-04
2.15E+02;7.18E-01;1.25E-03;1.00E+00;1.00E-03
2.16E+02;7.19E-01;1.33E-03;1.01E+00;6.52E-04
2.17E+02;7.18E-01;1.26E-03;1.00E+00;9.67E-04
2.18E+02;7.18E-01;1.12E-03;1.01E+00;5.89E-04
2.19E+02;7.18E-01;1.23E-03;1.00E+00;1.10E-03
2.20E+02;7.19E-01;1.25E-03;1.00E+00;7.77E-04
2.21E+02;7.18E-01;1.16E-03;1.00E+00;9.12E-04
2.22E+02;7.19E-01;1.21E-03;1.00E+00;1.26E-03
2.23E+02;7.18E-01;1.03E-03;1.00E+00;7.77E-04
2.24E+02;7.18E-01;1.25E-03;1.00E+00;1.06E-03
2.25E+02;7.18E-01;1.22E-03;1.00E+00;9.68E-04
2.26E+02;7.18E-01;1.35E-03;1.00E+00;7.76E-04
2.27E+02;7.19E-01;1.18E-03;1.00E+00;7.57E-04
2.28E+02;7.19E-01;1.24E-03;1.00E+00;1.06E-03
2.29E+02;7.18E-01;1.27E-03;1.00E+00;7.26E-04
2.30E+02;7.18E-01;1.31E-03;1.00E+00;1.10E-03
2.31E+02;7.19E-01;1.07E-03;1.00E+00;8.36E-04
2.32E+02;7.18E-01;1.12E-03;1.00E+00;9.47E-04
2.33E+02;7.18E-01;1.07E-03;1.00E+00;1.05E-03
2.34E+02;7.18E-01;1.17E-03;1.00E+00;7.51E-04
2.35E+02;7.18E-01;1.09E-03;1.00E+00;8.59E-04
2.36E+02;7.18E-01;1.20E-03;1.00E+00;7.34E-04
2.37E+02;7.18E-01;1.33E-03;1.00E+00;7.50E-04
2.38E+02;7.19E-01;1.17E-03;1.00E+00;8.50E-04
2.39E+02;7.19E-01;1.39E-03;1.00E+00;1.06E-03
2.40E+02;7.19E-01;1.43E-03;1.00E+00;7.87E-04
