Time (secs);Force sensor voltage (volts);Force sensor voltage error (volts);Diode circuit voltage (volts);Diode circuit voltage error (volts)
9.30E+01;6.06E-01;2.06E-03;8.95E-01;1.06E-03
9.40E+01;6.07E-01;2.33E-03;8.94E-01;1.21E-03
9.50E+01;6.07E-01;1.79E-03;8.94E-01;1.40E-03
9.60E+01;6.07E-01;2.98E-03;8.94E-01;1.68E-03
9.70E+01;6.07E-01;1.51E-03;8.94E-01;1.50E-03
9.80E+01;6.06E-01;1.35E-03;8.95E-01;1.54E-03
9.90E+01;6.06E-01;1.20E-03;8.94E-01;1.04E-03
1.00E+02;6.07E-01;1.14E-03;8.94E-01;1.01E-03
1.01E+02;6.06E-01;1.27E-03;8.94E-01;1.26E-03
1.02E+02;6.07E-01;1.24E-03;8.94E-01;1.37E-03
1.03E+02;6.06E-01;1.25E-03;8.94E-01;1.18E-03
1.04E+02;6.07E-01;1.21E-03;8.94E-01;1.12E-03
1.05E+02;6.07E-01;1.14E-03;8.94E-01;1.43E-03
1.06E+02;6.07E-01;1.34E-03;8.94E-01;1.13E-03
1.07E+02;6.07E-01;1.22E-03;8.94E-01;1.47E-03
1.08E+02;6.07E-01;1.18E-03;8.94E-01;1.10E-03
1.09E+02;6.07E-01;1.28E-03;8.94E-01;1.08E-03
1.10E+02;6.07E-01;1.12E-03;8.94E-01;1.10E-03
1.11E+02;6.07E-01;1.34E-03;8.93E-01;1.55E-03
1.12E+02;6.07E-01;1.44E-03;8.93E-01;1.16E-03
1.13E+02;5.93E-01;1.61E-02;8.95E-01;8.56E-03
1.14E+02;5.85E-01;8.97E-03;1.00E+00;1.48E-03
1.15E+02;5.86E-01;3.09E-03;1.00E+00;1.36E-03
1.16E+02;5.86E-01;2.35E-03;1.00E+00;1.38E-03
1.17E+02;5.86E-01;2.07E-03;1.00E+00;1.44E-03
1.18E+02;5.86E-01;1.94E-03;1.00E+00;1.50E-03
1.19E+02;5.86E-01;1.67E-03;1.00E+00;1.46E-03
1.20E+02;5.86E-01;1.57E-03;1.00E+00;1.17E-03
1.21E+02;5.86E-01;1.49E-03;1.00E+00;1.52E-03
1.22E+02;5.86E-01;1.74E-03;1.00E+00;1.16E-03
1.23E+02;5.86E-01;1.46E-03;1.00E+00;1.30E-03
1.24E+02;5.86E-01;1.28E-03;1.00E+00;1.20E-03
1.25E+02;5.86E-01;1.34E-03;1.00E+00;1.33E-03
1.26E+02;5.86E-01;1.27E-03;1.00E+00;1.25E-03
1.27E+02;5.87E-01;1.28E-03;1.00E+00;1.27E-03
1.28E+02;5.86E-01;1.28E-03;1.00E+00;1.32E-03
1.29E+02;5.87E-01;1.41E-03;1.00E+00;1.41E-03
1.30E+02;5.88E-01;1.49E-03;1.00E+00;1.37E-03
1.31E+02;5.87E-01;1.60E-03;1.00E+00;1.69E-03
1.32E+02;5.88E-01;1.47E-03;1.00E+00;1.55E-03
1.33E+02;5.87E-01;1.45E-03;1.00E+00;1.27E-03
1.34E+02;5.87E-01;1.33E-03;1.00E+00;1.70E-03
1.35E+02;5.87E-01;1.40E-03;1.00E+00;1.60E-03
1.36E+02;5.87E-01;1.35E-03;1.00E+00;1.47E-03
1.37E+02;5.87E-01;1.41E-03;1.00E+00;1.56E-03
1.38E+02;5.87E-01;1.32E-03;1.00E+00;1.74E-03
1.39E+02;5.87E-01;1.60E-03;9.99E-01;1.62E-03
1.40E+02;5.88E-01;1.60E-03;1.00E+00;1.65E-03
1.41E+02;5.87E-01;1.31E-03;1.00E+00;1.45E-03
1.42E+02;5.88E-01;1.99E-03;1.00E+00;1.46E-03
1.43E+02;5.87E-01;1.71E-03;1.00E+00;1.61E-03
1.44E+02;5.88E-01;1.66E-03;1.00E+00;1.65E-03
1.45E+02;5.88E-01;1.91E-03;1.00E+00;1.49E-03
1.46E+02;5.86E-01;1.78E-03;1.00E+00;1.27E-03
1.47E+02;5.86E-01;1.19E-03;1.00E+00;1.36E-03
1.48E+02;5.86E-01;1.38E-03;1.00E+00;1.37E-03
1.49E+02;5.87E-01;1.48E-03;1.00E+00;1.36E-03
1.50E+02;5.88E-01;1.50E-03;1.00E+00;1.67E-03
1.51E+02;5.88E-01;1.59E-03;1.00E+00;1.49E-03
1.52E+02;5.87E-01;1.74E-03;1.00E+00;1.65E-03
1.53E+02;5.87E-01;1.63E-03;1.00E+00;1.60E-03
1.54E+02;5.88E-01;1.63E-03;1.00E+00;1.41E-03
1.55E+02;5.87E-01;1.66E-03;9.99E-01;1.60E-03
1.56E+02;5.87E-01;1.46E-03;1.00E+00;1.52E-03
1.57E+02;5.87E-01;1.54E-03;1.00E+00;1.35E-03
1.58E+02;5.87E-01;1.63E-03;9.99E-01;1.59E-03
1.59E+02;5.88E-01;1.41E-03;1.00E+00;1.73E-03
1.60E+02;5.87E-01;1.59E-03;1.00E+00;1.65E-03
1.61E+02;5.88E-01;1.61E-03;1.00E+00;1.25E-03
1.62E+02;5.87E-01;1.63E-03;1.00E+00;1.36E-03
1.63E+02;5.88E-01;1.61E-03;1.00E+00;1.40E-03
1.64E+02;5.88E-01;1.50E-03;1.00E+00;1.50E-03
1.65E+02;5.86E-01;1.34E-03;1.00E+00;1.11E-03
1.66E+02;5.87E-01;1.33E-03;1.00E+00;1.17E-03
1.67E+02;5.87E-01;1.49E-03;1.00E+00;1.20E-03
1.68E+02;5.86E-01;1.68E-03;1.00E+00;1.25E-03
1.69E+02;5.87E-01;1.94E-03;1.00E+00;1.35E-03
1.70E+02;5.87E-01;1.61E-03;1.00E+00;1.11E-03
1.71E+02;5.86E-01;1.49E-03;1.00E+00;9.18E-04
1.72E+02;5.86E-01;1.12E-03;1.00E+00;1.11E-03
1.73E+02;5.86E-01;1.23E-03;1.00E+00;1.03E-03
1.74E+02;5.86E-01;1.28E-03;1.00E+00;1.11E-03
1.75E+02;5.86E-01;1.35E-03;1.00E+00;1.16E-03
1.76E+02;5.86E-01;1.16E-03;1.00E+00;1.02E-03
1.77E+02;5.86E-01;1.20E-03;1.00E+00;9.57E-04
1.78E+02;5.86E-01;1.42E-03;1.00E+00;1.18E-03
1.79E+02;5.86E-01;1.30E-03;1.00E+00;1.03E-03
1.80E+02;5.86E-01;1.37E-03;1.00E+00;9.88E-04
1.81E+02;5.86E-01;1.41E-03;1.00E+00;9.80E-04
1.82E+02;5.86E-01;1.25E-03;1.00E+00;1.19E-03
1.83E+02;5.86E-01;1.20E-03;1.00E+00;1.09E-03
1.84E+02;5.86E-01;1.20E-03;1.00E+00;1.00E-03
1.85E+02;5.86E-01;1.28E-03;1.00E+00;9.64E-04
1.86E+02;5.86E-01;1.26E-03;1.00E+00;9.23E-04
1.87E+02;5.86E-01;1.16E-03;1.00E+00;9.83E-04
1.88E+02;5.86E-01;1.12E-03;1.00E+00;1.19E-03
1.89E+02;5.86E-01;1.31E-03;1.00E+00;1.20E-03
1.90E+02;5.86E-01;1.34E-03;1.00E+00;1.16E-03
1.91E+02;5.86E-01;1.57E-03;1.00E+00;1.09E-03
1.92E+02;5.86E-01;1.52E-03;1.00E+00;1.16E-03
1.93E+02;5.86E-01;1.19E-03;1.00E+00;9.70E-04
1.94E+02;5.86E-01;1.42E-03;1.00E+00;1.00E-03
1.95E+02;5.86E-01;1.43E-03;1.00E+00;1.05E-03
1.96E+02;5.86E-01;1.28E-03;1.00E+00;1.02E-03
1.97E+02;5.86E-01;1.34E-03;1.00E+00;1.31E-03
1.98E+02;5.86E-01;1.28E-03;1.00E+00;1.10E-03
1.99E+02;5.86E-01;1.30E-03;1.00E+00;1.10E-03
2.00E+02;5.86E-01;1.30E-03;1.00E+00;1.19E-03
2.01E+02;5.87E-01;1.16E-03;1.00E+00;9.30E-04
2.02E+02;5.87E-01;1.26E-03;1.00E+00;1.12E-03
2.03E+02;5.88E-01;1.39E-03;1.00E+00;1.60E-03
2.04E+02;5.87E-01;3.39E-03;1.00E+00;1.48E-03
2.05E+02;5.87E-01;3.08E-03;1.00E+00;1.43E-03
2.06E+02;5.88E-01;2.58E-03;1.00E+00;1.62E-03
2.07E+02;5.88E-01;3.10E-03;1.00E+00;1.40E-03
2.08E+02;5.88E-01;3.63E-03;1.00E+00;1.34E-03
2.09E+02;5.88E-01;2.41E-03;1.00E+00;1.33E-03
2.10E+02;5.88E-01;2.38E-03;1.00E+00;1.46E-03
2.11E+02;5.88E-01;4.21E-03;1.00E+00;1.48E-03
2.12E+02;5.88E-01;1.83E-03;1.00E+00;1.17E-03
2.13E+02;5.88E-01;2.20E-03;1.00E+00;1.30E-03
2.14E+02;5.88E-01;1.79E-03;1.00E+00;1.32E-03
2.15E+02;5.88E-01;2.68E-03;1.00E+00;1.54E-03
2.16E+02;5.88E-01;2.39E-03;1.00E+00;1.62E-03
2.17E+02;5.88E-01;1.52E-03;1.00E+00;1.64E-03
2.18E+02;5.88E-01;1.99E-03;1.00E+00;1.71E-03
2.19E+02;5.88E-01;3.00E-03;1.00E+00;1.28E-03
2.20E+02;5.88E-01;2.87E-03;1.00E+00;1.55E-03
2.21E+02;5.88E-01;2.64E-03;1.00E+00;1.46E-03
2.22E+02;5.88E-01;2.44E-03;1.00E+00;1.54E-03
2.23E+02;5.88E-01;2.97E-03;1.00E+00;1.55E-03
2.24E+02;5.88E-01;3.69E-03;1.00E+00;1.57E-03
2.25E+02;5.88E-01;2.79E-03;1.00E+00;1.47E-03
2.26E+02;5.88E-01;2.27E-03;1.00E+00;1.77E-03
2.27E+02;5.88E-01;3.22E-03;1.00E+00;1.56E-03
2.28E+02;5.88E-01;2.19E-03;1.00E+00;1.45E-03
2.29E+02;5.88E-01;1.76E-03;1.00E+00;1.38E-03
2.30E+02;5.88E-01;4.42E-03;1.00E+00;1.55E-03
2.31E+02;5.88E-01;3.89E-03;1.00E+00;1.55E-03
2.32E+02;5.88E-01;3.06E-03;1.00E+00;1.45E-03
2.33E+02;5.88E-01;2.27E-03;1.00E+00;1.40E-03
2.34E+02;5.88E-01;2.08E-03;1.00E+00;1.65E-03
2.35E+02;5.88E-01;2.00E-03;1.00E+00;1.44E-03
2.36E+02;5.89E-01;2.09E-03;1.00E+00;1.71E-03
2.37E+02;5.88E-01;2.17E-03;1.00E+00;1.70E-03
2.38E+02;5.88E-01;1.77E-03;1.00E+00;1.40E-03
2.39E+02;5.88E-01;1.77E-03;1.00E+00;1.50E-03
2.40E+02;5.88E-01;1.84E-03;1.00E+00;1.73E-03
